EXPRESSION;FITNESS;TIME (Milliseconds);
LAIR2 = ((((seq1179_IFNG(t - 1) - 0.01) - 0.01) - 0.01) - 0.01) - 0.01;1,33;3319
KIF14 = seq992_MGC27121(t - 1);0,99;3949
GUCY1A3 = seq683_NFATC3(t - 1);1,04;3188
MYO5C = seq19_CD1C(t - 1);0,57;3367
IMMP2L = seq708_SLAMF6(t - 1);1,21;4388
ALPK2 = seq476_PTMS(t - 1);1,73;3847
ATP2B4 = seq721_LOC441019(t - 1);1,57;3184
HSD11B1 = log (((seq976_TSKU(t - 1) * seq132_GGT1(t - 1)) * (seq1073_BMPR2(t - 1) + seq824_AMMECR1(t - 1))) - ((seq976_TSKU(t - 1) * seq132_GGT1(t - 1)) / (log seq725_EDARADD(t - 1))));0,43;4417
NPAL1 = seq539_NKD2(t - 1);0,86;3318
FLJ14107 = seq604_RASD1(t - 1);1,21;3324
CNP = seq604_RASD1(t - 1);0,66;3387
GAD1 = seq962_CAMTA2(t - 1) - (log (((log seq574_FRAT1(t - 1)) * (cosine seq1095_ARHGAP27(t - 1))) / ((log seq199_PTPRR(t - 1)) / (seq1161_RPL37(t - 1) / seq1283_TUSC3(t - 1)))));0,82;4469
ID1 = seq1172_NPDC1(t - 1);1,28;4267
C9orf9 = seq544_COL6A1(t - 1);0,48;3342
LOC729486 = seq945_APM-1(t - 1);0,52;4414
DEPDC1B = seq692_UCHL1(t - 1);1,13;3610
PDLIM7 = seq1222_HAGHL(t - 1);0,48;3244
PLAGL1 = seq132_GGT1(t - 1);0,8;3324
HVCN1 = seq986_TM7SF3(t - 1);0,75;3331
TMEM136 = (sine (sine (((sine seq966_PPARG(t - 1)) * (seq833_C1orf56(t - 1) - seq192_CCDC74A(t - 1))) / ((seq704_KIF1A(t - 1) * (seq833_C1orf56(t - 1) - seq192_CCDC74A(t - 1))) - seq1290_TP53I3(t - 1))))) + seq779_GSTA4(t - 1);0,49;3332
RP11-529I10.4 = seq356_AFAP1(t - 1);0,94;3234
LINGO4 = seq289_LOC729692(t - 1);1,03;3601
SLC35D1 = seq539_NKD2(t - 1);0,83;4400
C3orf34 = seq175_PPAPDC1B(t - 1);1,24;3184
BMPR2 = seq1322_DIXDC1(t - 1);1,03;3289
PDIA3P = seq169_CXCR6(t - 1);0,41;3129
TNFRSF10D = seq646_HIST1H4H(t - 1) - (seq1066_LINGO4(t - 1) - seq792_MUSTN1(t - 1));1,58;4540
TSR1 = seq176_ICOSLG(t - 1);1,13;3555
MB = seq692_UCHL1(t - 1);1,62;3430
IL22 = seq23_C12orf48(t - 1);0,36;3087
ARHGAP27 = seq404_ASS1(t - 1);0,81;3997
IL26 = seq1174_FAR2(t - 1);0,42;4717
RGL2 = ((sine (cosine (sine seq1236_PTHLH(t - 1)))) + ((log (seq754_CDK3(t - 1) * seq1236_PTHLH(t - 1))) + (log (seq1008_MYO5C(t - 1) / seq1322_DIXDC1(t - 1))))) / (((sine (seq112_LOC730077(t - 1) / seq753_EIF4EBP1(t - 1))) / ((seq1185_KIF5C(t - 1) + seq712_SHISA2(t - 1)) * (seq119_RAB23(t - 1) * seq597_CYB5R2(t - 1)))) + (cosine (sine (cosine seq1074_PDIA3P(t - 1)))));0,69;3226
CDR2L = seq119_RAB23(t - 1);0,75;3286
LRRC32 = seq512_PSME1(t - 1);1,33;3255
