EXPRESSION;FITNESS;TIME (Milliseconds);
EXOC2 = seq1022_FAM20B(t - 1);1,36;2102
LRRC8C = seq618_RHOBTB3(t - 1);2,08;2041
BTLA = seq64_PPP1R10(t - 1);2,69;2062
KIFAP3 = seq1216_TRAK1(t - 1);1,41;2108
LYPLAL1 = seq300_NSMCE2(t - 1);1,34;1949
FAM50B = seq880_C1orf122(t - 1);1,55;2042
FVT1 = seq477_MOBKL2A(t - 1);2,39;2059
TNIP2 = seq1272_ZNF473(t - 1);1,67;2050
METTL11A = seq690_GNG10(t - 1);0,85;1991
DUSP14 = seq477_MOBKL2A(t - 1);1,48;2161
CARD8 = seq767_JAM3(t - 1);1,76;2035
GMCL1 = seq973_NFATC3(t - 1);1,8;2069
SLAMF6 = seq1239_ADARB1(t - 1);2,94;2020
ZFYVE21 = seq1070_EXOC2(t - 1);2,17;1999
POLR3A = seq127_GVIN1(t - 1);2,2;2021
ECOP = seq531_MED16(t - 1);1,75;2044
CTSC = seq1148_METTL11A(t - 1);1,15;2073
MIZF = (log (((log (log (((seq464_SETDB1(t - 1) + seq1293_UGCGL1(t - 1)) + (seq307_PUS3(t - 1) * seq390_LIG1(t - 1))) + (seq307_PUS3(t - 1) * seq256_INSIG1(t - 1))))) - ((log (log (seq1168_ZFYVE21(t - 1) * seq1250_BCAS4(t - 1)))) - (log (seq1168_ZFYVE21(t - 1) * seq1250_BCAS4(t - 1))))) + (seq307_PUS3(t - 1) * seq256_INSIG1(t - 1)))) - ((sine (seq936_TTC37(t - 1) / seq1273_MGAT2(t - 1))) - (log (seq307_PUS3(t - 1) * seq390_LIG1(t - 1))));1,56;2080
FAM89A = seq1262_CXCR5(t - 1);2,46;2071
TRAK1 = seq819_CDK7(t - 1) - (cosine seq1229_SLC37A3(t - 1));1,06;2125
SLC25A15 = seq121_SLC25A15(t - 1);1,87;2062
CCDC50 = seq295_HADH2(t - 1);2,34;2090
SLC37A3 = 8.0;0,85;2084
SLC37A3 = 6.0;0,85;2067
SLC37A3 = 3.0;0,85;2101
SLC37A3 = 7.0;0,85;2043
SLC37A3 = 5.0;0,85;2074
PMEPA1 = seq73_PRPF40A(t - 1);3,98;2111
ADARB1 = seq817_CDC2L5(t - 1);2,28;2072
FAM110A = seq279_TM7SF2(t - 1) + (cosine seq1272_ZNF473(t - 1));1,29;2051
ZDHHC18 = seq477_MOBKL2A(t - 1);1,79;2053
BCAS4 = seq975_TNFSF10(t - 1);1,61;2074
WASPIP = seq685_PMF1(t - 1);1,31;2082
CXCR5 = seq977_RUNX1(t - 1);2,93;2058
ZNF473 = seq1272_ZNF473(t - 1);1,02;2075
MGAT2 = log ((sine ((seq140_OMA1(t - 1) * ((seq936_TTC37(t - 1) * seq140_OMA1(t - 1)) * (sine ((seq140_OMA1(t - 1) * seq556_LOC348262(t - 1)) + (cosine (((seq140_OMA1(t - 1) * seq556_LOC348262(t - 1)) - (((sine seq73_PRPF40A(t - 1)) * (seq551_CYSLTR1(t - 1) * seq196_CASP4(t - 1))) - ((seq140_OMA1(t - 1) * (seq936_TTC37(t - 1) * seq140_OMA1(t - 1))) + (cosine seq171_SF3B1(t - 1))))) * seq196_CASP4(t - 1))))))) + ((seq936_TTC37(t - 1) * seq140_OMA1(t - 1)) * (seq551_CYSLTR1(t - 1) * seq196_CASP4(t - 1))))) - (((sine seq73_PRPF40A(t - 1)) * seq1273_MGAT2(t - 1)) - ((seq936_TTC37(t - 1) * seq1273_MGAT2(t - 1)) * (seq551_CYSLTR1(t - 1) * seq196_CASP4(t - 1)))));0,88;2301
GVIN1 = log (((seq291_PRDM4(t - 1) * seq685_PMF1(t - 1)) + (sine seq1300_BRE(t - 1))) * (((seq291_PRDM4(t - 1) * seq685_PMF1(t - 1)) + (sine seq1300_BRE(t - 1))) + (sine seq1300_BRE(t - 1))));2,05;2187
BPGM = seq1165_GMCL1(t - 1);1,34;1999
LGALS8 = seq1060_TRPV2(t - 1);1,61;2158
NFATC3 = seq1292_NFATC3(t - 1);0,88;2099
UGCGL1 = seq685_PMF1(t - 1);1,1;2103
RRBP1 = seq729_DERL2(t - 1);2,57;2011
BRE = seq537_EXOC2(t - 1);1,24;2032
ATF3 = log (((seq685_PMF1(t - 1) * seq700_RNF31(t - 1)) * (sine seq1111_KIFAP3(t - 1))) * ((seq685_PMF1(t - 1) * seq1272_ZNF473(t - 1)) * (sine (sine seq1111_KIFAP3(t - 1)))));1,38;2033
SIRPG = seq648_RBCK1(t - 1);2,86;2022
WDR7 = (log ((seq1325_SIRPG(t - 1) * seq100_TMEM138(t - 1)) * ((log ((seq1005_SNTB2(t - 1) * seq100_TMEM138(t - 1)) * (seq1325_SIRPG(t - 1) * seq100_TMEM138(t - 1)))) * seq1216_TRAK1(t - 1)))) - (cosine (sine (seq593_TMEM70(t - 1) * seq1216_TRAK1(t - 1))));0,8;2065
EPSTI1 = seq605_IKZF4(t - 1);5,07;2040
