EXPRESSION;FITNESS;TIME (Milliseconds);
CTSL1 = seq1154_ARMET(t - 1);1,82;3794
GAK = seq1037_GAK(t - 1) - ((seq1037_GAK(t - 1) - (seq1037_GAK(t - 1) - (cosine seq70_SEC61A1(t - 1)))) / (log seq1071_TCEB1(t - 1)));1,99;2695
ARPC5L = seq716_RAB8A(t - 1);2,53;2628
S100A10 = (((seq183_SEC24C(t - 1) - seq885_NDUFV1(t - 1)) / (seq183_SEC24C(t - 1) - seq1037_GAK(t - 1))) + (seq1335_PSMB8(t - 1) + (cosine seq134_WDR6(t - 1)))) + (sine (log (seq86_DDIT4(t - 1) / (((seq183_SEC24C(t - 1) - seq885_NDUFV1(t - 1)) / (seq183_SEC24C(t - 1) - seq1037_GAK(t - 1))) + ((((seq183_SEC24C(t - 1) - seq885_NDUFV1(t - 1)) / (seq183_SEC24C(t - 1) - seq1037_GAK(t - 1))) + seq1335_PSMB8(t - 1)) + (sine (seq1335_PSMB8(t - 1) / seq1055_ARPC5L(t - 1))))))));1,89;2740
LDLR = seq70_SEC61A1(t - 1) + (sine seq869_GNPDA1(t - 1));2,14;2602
TCEB1 = log ((((seq339_OCIAD2(t - 1) + seq426_C17orf70(t - 1)) + (seq949_HMGCS1(t - 1) * (seq949_HMGCS1(t - 1) / (seq801_GTPBP6(t - 1) / seq290_STAT1(t - 1))))) + ((seq801_GTPBP6(t - 1) / seq290_STAT1(t - 1)) + (cosine (log ((((seq339_OCIAD2(t - 1) + seq426_C17orf70(t - 1)) + (seq949_HMGCS1(t - 1) * seq269_PTDSS1(t - 1))) + ((seq801_GTPBP6(t - 1) / seq134_WDR6(t - 1)) + (cosine seq789_LRRN3(t - 1)))) * (log seq62_KRTCAP2(t - 1))))))) * ((log (seq949_HMGCS1(t - 1) / seq808_STAT1(t - 1))) + ((seq1030_CTSL1(t - 1) * seq30_MRPS22(t - 1)) * (log seq62_KRTCAP2(t - 1)))));1,96;2856
NPM3 = seq851_BOLA2(t - 1) - ((seq851_BOLA2(t - 1) - (seq851_BOLA2(t - 1) - ((seq851_BOLA2(t - 1) - (seq758_ROD1(t - 1) / (seq851_BOLA2(t - 1) - (((seq851_BOLA2(t - 1) - ((seq851_BOLA2(t - 1) - (((seq851_BOLA2(t - 1) - ((((seq851_BOLA2(t - 1) - ((seq851_BOLA2(t - 1) / ((seq758_ROD1(t - 1) / seq49_CRIP1(t - 1)) + seq743_MFNG(t - 1))) / seq49_CRIP1(t - 1))) / seq49_CRIP1(t - 1)) - ((seq851_BOLA2(t - 1) - seq851_BOLA2(t - 1)) / seq49_CRIP1(t - 1))) / seq49_CRIP1(t - 1))) - (seq758_ROD1(t - 1) / ((seq49_CRIP1(t - 1) / seq49_CRIP1(t - 1)) / seq49_CRIP1(t - 1)))) / seq49_CRIP1(t - 1))) / seq49_CRIP1(t - 1))) - (((cosine seq808_STAT1(t - 1)) * (seq851_BOLA2(t - 1) - (seq758_ROD1(t - 1) / seq49_CRIP1(t - 1)))) * ((log seq1154_ARMET(t - 1)) * (log seq383_IMPDH2(t - 1))))) / ((((log seq49_CRIP1(t - 1)) - (seq851_BOLA2(t - 1) - (seq851_BOLA2(t - 1) / seq49_CRIP1(t - 1)))) * (sine (seq851_BOLA2(t - 1) + seq74_PPP1R14B(t - 1)))) - (sine (seq851_BOLA2(t - 1) - ((seq851_BOLA2(t - 1) - (seq758_ROD1(t - 1) / seq49_CRIP1(t - 1))) / seq49_CRIP1(t - 1))))))))) - ((sine ((seq851_BOLA2(t - 1) - (seq758_ROD1(t - 1) / seq851_BOLA2(t - 1))) - ((seq851_BOLA2(t - 1) - ((seq758_ROD1(t - 1) / (seq851_BOLA2(t - 1) - (((sine (log (seq851_BOLA2(t - 1) - (seq851_BOLA2(t - 1) - ((seq758_ROD1(t - 1) / seq49_CRIP1(t - 1)) / seq49_CRIP1(t - 1)))))) - ((seq851_BOLA2(t - 1) / seq49_CRIP1(t - 1)) * ((seq49_CRIP1(t - 1) / seq49_CRIP1(t - 1)) * (log seq383_IMPDH2(t - 1))))) / (seq851_BOLA2(t - 1) - (seq851_BOLA2(t - 1) - ((seq49_CRIP1(t - 1) / seq49_CRIP1(t - 1)) / seq49_CRIP1(t - 1))))))) / seq49_CRIP1(t - 1))) / seq49_CRIP1(t - 1)))) / seq49_CRIP1(t - 1))))) / seq49_CRIP1(t - 1));1,34;3362
LOC606724 = seq885_NDUFV1(t - 1);2,42;2578
FVT1 = seq1335_PSMB8(t - 1);2,73;3982
ENY2 = seq1145_ENY2(t - 1) + (cosine 5.0);2,29;2631
