FCGBP;TMEM149;TMEM97;FAM84B;
GFI1;ITPKB;C17orf68;
IRS2;PRIC285;C14orf43;UBL3;TMEM149;LEPROTL1;MBP;
RORA;GPR132;LOC653853;IRF7;MBP;VPS37B;C1orf218;SYTL3;REC8;
TMEM97;HABP4;LYSMD4;
UBE2L3;CECR1;KIAA0922;NDE1;KIAA0748;SMARCA2;
RGS2;RAB5C;TMEM149;ARID5A;STAT4;MBP;ADD3;CYTH1;SYTL3;FAM84B;
FRAT2;NDE1;PISD;
TMEM149;IL4R;TBC1D4;FAM46C;TMEM97;
LOC653853;SMARCA2;
HABP4;KIAA0922;RAB5C;UBA7;LOC653853;ENTPD4;NDE1;BCL3;
DIP2B;TMEM149;MBP;PISD;
UBASH3A;TMEM149;
TRIM22;C17orf68;PYHIN1;RCE1;TRIM22;
TLE4;MBP;
IL4R;ARHGAP9;FRAT2;TMEM149;PISD;
ENTPD4;ITPKB;MAP1LC3A;PDPR;TMEM149;BCL3;TAP2;PHF17;
ARID5A;RAB5C;PYHIN1;ST3GAL5;REC8;
TAP2;TMEM97;
TBC1D2B;KIAA0922;TMEM149;TMEM97;C1orf218;
LAX1;ARHGAP9;TMEM149;GFI1;IRS2;RCE1;TMEM97;
SYTL3;RGS2;
SYTL2;ITPKB;
GPRIN3;P2RY5;TMEM149;TRIB2;SIPA1;TRIM22;
KIAA0922;C17orf68;P2RY5;ENTPD4;NDE1;
MAL;TMEM149;TBC1D2B;MBP;
C1orf218;ARHGAP9;FRAT2;LEPROTL1;TBC1D2B;
TRIB2;FAM46C;TMEM149;SIPA1;
MAD1L1;C14orf43;UBL3;TMEM149;
CDC42SE1;CDC42SE1;PNPLA7;TMEM149;RORA;TMEM97;
UBA7;C17orf68;GPRIN3;LOC653853;NDE1;TAP2;RCE1;
KIAA1012;SERPINB1;LOC653853;KIAA1012;KIAA0748;DCP2;RELA;
HIVEP1;TMEM149;TAGAP;IDS;
ST3GAL5;ITPKB;TMEM149;MX2;LEPROTL1;TBC1D2B;SIPA1;UBE2L3;
MBP;P2RY10;SERPINB1;UBL3;MAP3K1;TMEM149;TAGAP;HIVEP1;IDS;SIPA1;RELB;
RIPK1;TMEM149;
RCE1;UBL3;TMEM149;
ST3GAL1;SYTL3;
IVNS1ABP;TMEM149;TAP2;EIF2AK2;RCE1;TMEM97;MYD88;
ZBTB17;NIN;
SMAD3;ARHGAP9;UBL3;
AUTS2;ARHGAP9;RGS2;MAP1LC3A;NDE1;LAX1;
PYHIN1;MBP;ATM;UBASH3A;RCE1;SPTY2D1;PISD;
EIF2AK2;TMEM149;MBP;PISD;
KLHL22;RCE1;
SMARCA2;LOC653853;NDE1;MBP;C1orf218;SIPA1;
SMAD7;TMEM149;
CYLD;P2RY10;ADD3;
HOOK1;TMEM149;PYHIN1;MBP;
BCL3;FRAT2;TMEM149;
ATM;FRAT2;LOC653853;TMEM149;PYHIN1;RCE1;PISD;
PHF17;TMEM149;
GPR18;AKAP13;RGS2;RAB5C;PYHIN1;
MYD88;C17orf68;NIN;FRAT2;LOC653853;
OGFR;RGS2;UBL3;HOOK1;TAP2;FYN;IGF2BP3;
ARHGAP9;FAM84B;PISD;
RNF10;AUTS2;LOC653853;ATM;
PDE3B;TMEM149;HAPLN3;
PTEN;UBL3;KIAA0922;RAB5C;TMEM149;MAL;RCE1;AXIN2;C1orf218;MEF2D;
HAPLN3;RGS2;PISD;
ZCCHC14;TMEM149;
PRIC285;UBL3;SIPA1;
AKAP13;NDE1;C1orf218;FAM84B;
UBL3;UBL3;C1orf218;PHF17;
MAP1LC3A;LOC653853;TMEM149;LEPROTL1;MBP;RCE1;
TAGAP;UBL3;
GARNL1;NDE1;GARNL1;TMEM97;
IDS;SMARCA2;
SERPINB1;UBL3;LOC653853;TMEM149;
AXIN2;ARHGAP9;UBL3;TMEM149;MBP;ADD3;
TMC6;TMEM149;TBC1D2B;MBP;
VPS37B;TMEM149;BCL3;
ITPKB;MAP1LC3A;TMEM149;PYHIN1;
C14orf43;ITPKB;OGFR;PDPR;FRAT2;KRAS;RCE1;
IRF7;PRIC285;TMEM149;MBP;PISD;
DCP2;TMEM149;LEPROTL1;MBP;DIP2B;FAM84B;
FAM84B;FCGBP;TMEM149;PYHIN1;REC8;
ADD3;FAM46C;PYHIN1;NDE1;PDE3B;IRS2;MGC3020;TMC6;ADD3;SMARCA2;SMAD7;RGS2;UBL3;MAP1LC3A;FRAT2;TMEM149;HABP4;IDS;ST3GAL5;MBP;ST3GAL1;PHF17;GPR18;
SPTY2D1;RCE1;SMARCA2;PISD;
RELA;STAT4;
CECR1;TMEM149;RCE1;FAM84B;
P2RY5;KIAA0922;
PDPR;AUTS2;LOC653853;PYHIN1;TRIM22;
LEPROTL1;ARHGAP9;ZBTB17;LOC653853;STAT3;IRS2;RIPK1;C1orf218;RELA;ZCCHC14;
STAT4;RCE1;
FYN;SERPINB1;TMEM149;RCE1;DCP2;PISD;
IGF2BP3;TMEM149;TAP2;
MEF2D;CYLD;NDE1;LEPROTL1;ADD3;MAD1L1;
CYTH1;TLE4;TMEM149;
P2RY10;RGS2;MAP1LC3A;SYTL2;
MAP3K1;ARHGAP9;RNF10;TMEM149;SYTL3;
PNPLA7;ITPKB;TMEM149;MBP;
FAM46C;ARHGAP9;PYHIN1;SIPA1;PISD;
NDE1;ARHGAP9;C14orf43;LOC653853;TMEM149;NDE1;PTEN;ST3GAL5;RCE1;
MX2;LOC653853;TMEM149;DCP2;REC8;FAM84B;
STAT3;LOC653853;DCP2;
LYSMD4;IVNS1ABP;LEPROTL1;TAP2;STAT4;KLHL22;TMEM97;SMARCA2;
MGC3020;UBL3;TMEM149;TAP2;TBC1D2B;ADD3;SMARCA2;
C17orf68;C17orf68;TMEM149;RCE1;
NIN;RAB5C;FRAT2;FAM84B;
KRAS;RAB5C;SMAD3;
KIAA0748;PRIC285;FRAT2;AUTS2;LOC653853;TMEM149;PYHIN1;UBASH3A;RCE1;
SIPA1;ARHGAP9;TMEM149;
