ARHGAP9;ATHL1;ANXA1;SEC16A;LEF1;
NARF;LEF1;
TMEM183A;TMEM183A;PIK4CA;
PSCD1;USP3;ARHGEF3;
CBLB;SNRK;ARHGEF3;TMEM173;
LASS6;SNRK;SAPS3;TMEM173;LASS6;FAIM3;FOXO1;
FAIM3;SEC16A;TBC1D10C;ARHGEF3;
LITAF;LITAF;
FAM107B;ZAP70;NARF;C14orf173;NINJ1;MBP;BIRC3;FAM107B;
TRIM8;C20orf100;SNRK;KLF6;JUN;RGS1;SEC16A;STAT3;ARHGEF3;
EDC4;RYBP;TBC1D10C;
RGS1;JUN;PSCD1;FAIM3;
C14orf173;KLF6;SP110;
NFKBIZ;IRF1;ARHGEF3;
TBC1D10C;SGK;TBC1D10C;RBMS1;UPP1;
UPP1;ANXA1;RBM23;JUNB;MAPRE2;
LRRFIP1;PSCD1;STAT3;PUM1;
CCNL1;SGSM2;PUM1;RAPGEF6;
JUNB;NARF;ARHGEF3;TYK2;TMEM173;
PRKCH;LEF1;TBC1D10C;
ANXA1;ATHL1;SGK;TUG1;
SP110;SNRK;SAPS3;PRKCH;SP110;TBC1D10C;ARHGEF3;CCM2;
USP3;STAT3;ARID5B;CCNL1;FAM107B;
NBPF10;NARF;
ARID5B;PHF11;
TYK2;SNRK;
TMEM173;SEC16A;FAM107B;
TUG1;PRKCH;TGFBR2;
TGFBR2;C20orf100;LEF1;NBPF10;CBLB;
ZAP70;FYN;VHL;
SAPS3;TRIM8;RGS1;CCNL1;
CCNY;SAPS3;PLEKHM2;RBM23;FAM107B;
WDR82;WDR82;LEF1;TBC1D10C;RBMS1;HNRNPC;TYK2;
IRF1;STAT2;SGK;MX1;
NINJ1;ANXA1;NARF;SEC16A;SGK;ARHGEF3;TYK2;RBM23;
RAPGEF1;SNRK;LEF1;FYN;RBM23;
ARHGEF3;SEC16A;TBC1D10C;
PELI1;MAL;
MYADM;PUM1;
MAL;TRIM8;SNRK;ARHGEF3;FYN;BTBD11;
RBMS1;NARF;SEC16A;SGK;TUG1;
RBM23;KLF6;FAM107B;
RAPGEF6;IRF1;FYN;PUM1;
MAPRE2;ARID5B;
BIRC3;SNRK;NARF;SEC16A;BTBD11;RAPGEF6;
C20orf100;SNRK;NARF;BCL6;PHF11;MYADM;
SFRS17A;SGK;PUM1;BIRC3;
LEF1;TOP2B;NARF;SEC16A;CCNL1;PUM1;CHFR;
PIK4CA;TRIM8;ARHGAP9;VHL;BIRC3;
FOXO1;NARF;RGS1;PHF11;TYK2;PUM1;CHFR;
FYN;MYADM;ARHGEF3;
MBP;NFKBIZ;
VHL;PELI1;JUNB;
JUN;MYADM;TBC1D10C;TUG1;
SEC16A;SEC16A;TUG1;
PHF11;SNRK;KLF6;TBC1D10C;CBLB;LRRFIP1;TYK2;
MX1;JUN;SEC16A;
STAT3;ARHGEF3;
BTBD11;RGS1;ARHGEF3;FYN;
PUM1;SEC16A;TUG1;
CHFR;CCNY;IRF1;VHL;RBM23;
SNRK;SAPS3;NARF;ARHGEF3;CCNL1;
KLF6;SNRK;KLF6;C14orf173;LEF1;NFKBIZ;PHF11;PELI1;BTBD11;TUG1;RAPGEF6;
RYBP;HNRNPC;JUNB;
PQLC1;EDC4;PQLC1;NBPF10;TBC1D10C;OCIAD2;TUG1;CHFR;
BCL6;LEF1;MAL;
SGK;SNRK;SGK;HNRNPC;PUM1;
SGSM2;PUM1;TUG1;
PLEKHM2;NARF;SFRS17A;PHF11;BIRC3;FAM107B;
CCM2;SP110;ARID5B;TYK2;
HNRNPC;SGK;RAPGEF1;PIK4CA;
