EXPRESSION;FITNESS;TIME (Milliseconds);
KIAA0182 = seq1362_GATA3(t - 1);1,2;3169
SBNO2 = seq840_SOCS3(t - 1);3,29;2302
CCNYL1 = seq778_ELK4(t - 1);1,29;2339
GPR81 = (((seq209_MAFF(t - 1) + seq737_SOLH(t - 1)) - seq916_ZNF318(t - 1)) + seq737_SOLH(t - 1)) - seq783_ELF2(t - 1);3,22;2338
DDR1 = seq1087_ZNF831(t - 1);1,5;2295
C2orf18 = seq794_DDX17(t - 1);0,81;2000
LAG3 = seq141_NRBP1(t - 1);2,57;2010
SP110 = 7.0;1,38;2484
SP110 = 4.0;1,38;2057
IL16 = seq723_SGPL1(t - 1) + (sine ((sine seq656_AKAP13(t - 1)) / (((sine seq656_AKAP13(t - 1)) / (seq914_SPON1(t - 1) * ((sine (seq914_SPON1(t - 1) * seq1277_IRF7(t - 1))) / (seq723_SGPL1(t - 1) + (sine ((sine (sine (sine seq656_AKAP13(t - 1)))) / ((seq914_SPON1(t - 1) * seq1277_IRF7(t - 1)) + (seq723_SGPL1(t - 1) + (sine (((sine seq656_AKAP13(t - 1)) / seq723_SGPL1(t - 1)) / seq656_AKAP13(t - 1))))))))))) + (seq723_SGPL1(t - 1) + (sine ((sine seq656_AKAP13(t - 1)) / (seq914_SPON1(t - 1) * seq1277_IRF7(t - 1))))))));1,77;2080
NARFL = log ((log (log seq5_CCM2(t - 1))) * ((seq141_NRBP1(t - 1) * seq141_NRBP1(t - 1)) * (seq628_SLAIN1(t - 1) * seq110_TRIM56(t - 1))));0,94;2041
NLRP2 = log ((((log seq366_PTGER2(t - 1)) / (sine seq979_ABCC1(t - 1))) * (((seq1120_PARP11(t - 1) * seq45_RBMS1(t - 1)) - (log seq38_ELL2(t - 1))) - seq1051_CTDP1(t - 1))) * (((cosine seq1012_CCNYL1(t - 1)) + (seq918_CCDC104(t - 1) + seq1233_ZDHHC14(t - 1))) / (cosine (cosine seq1012_CCNYL1(t - 1)))));1,22;2137
SULT1A3 = seq1048_SULT1A3(t - 1);1,31;2038
CTDP1 = seq1362_GATA3(t - 1);1,11;2057
MIAT = seq1263_CXCR5(t - 1);1,99;2001
TMEM154 = seq628_SLAIN1(t - 1);1,67;1993
ZNF831 = (log (log ((cosine seq1048_SULT1A3(t - 1)) + (seq1251_CASP1(t - 1) + seq733_MRPL2(t - 1))))) * seq1282_GRAP(t - 1);1,1;2011
UHMK1 = seq794_DDX17(t - 1) + 0.01;0,68;1940
ZNF234 = seq737_SOLH(t - 1);1,73;2047
OPA3 = seq1120_PARP11(t - 1);1,12;2019
GBP5 = (log ((log seq40_PI4KAP1(t - 1)) * (seq1034_IL16(t - 1) * seq840_SOCS3(t - 1)))) + (((sine seq1318_CASP7(t - 1)) + (cosine (sine seq248_NFATC3(t - 1)))) + (cosine (seq1286_CDC2L5(t - 1) - seq737_SOLH(t - 1))));0,89;2046
RGPD1 = seq305_SESN3(t - 1);1,41;2006
TRIM56 = seq1212_PSMB8(t - 1);1,61;2065
NPAT = seq778_ELK4(t - 1);1,01;2053
PARP11 = 7.0;0,95;1994
PARP11 = 4.0;0,95;2098
PARP11 = 6.0;0,95;2019
PARP11 = 5.0;0,95;2015
GBP1 = seq1282_GRAP(t - 1) / (seq366_PTGER2(t - 1) / (seq1085_TMEM154(t - 1) / (seq366_PTGER2(t - 1) / seq842_RAB43(t - 1))));2,33;2018
ZNF821 = seq463_CASP9(t - 1);1,94;2027
CCNYL1 = seq783_ELF2(t - 1);1,27;2013
LAMP3 = seq241_TNFAIP8L1(t - 1);3,42;2023
FLVCR2 = seq63_LCP2(t - 1) / (seq794_DDX17(t - 1) / seq987_NANOS3(t - 1));1,37;2047
IL10RA = seq240_SEC14L2(t - 1);1,74;1994
IFIT3 = seq1282_GRAP(t - 1);1,87;2028
SAMD3 = seq656_AKAP13(t - 1) + 0.01;1,91;2041
PDE7A = seq1032_SP110(t - 1);1,98;2050
PSMB8 = seq1284_GIT2(t - 1) + ((sine (seq209_MAFF(t - 1) + seq903_NUAK2(t - 1))) / ((seq915_PGBD1(t - 1) - seq38_ELL2(t - 1)) + (seq1051_CTDP1(t - 1) * seq1360_RBCK1(t - 1))));1,43;2090
IL16 = seq1113_NPAT(t - 1);1,93;2002
ZDHHC14 = seq987_NANOS3(t - 1);1,92;2044
REC8 = ((cosine (seq376_TMBIM1(t - 1) / seq610_SMPD1(t - 1))) + ((seq527_TSPAN9(t - 1) + seq594_SIRT1(t - 1)) / (log seq1362_GATA3(t - 1)))) - (sine ((seq1052_MIAT(t - 1) / seq600_LRRC8A(t - 1)) / (cosine seq465_ITIH4(t - 1))));2,7;2021
CASP1 = seq557_GALR2(t - 1);1,6;2032
DACT1 = seq1362_GATA3(t - 1);1,74;2013
RAB27A = (seq241_TNFAIP8L1(t - 1) - (log (seq893_HSH2D(t - 1) * seq148_RNASEL(t - 1)))) + (log ((seq54_RPS6KA5(t - 1) * ((seq241_TNFAIP8L1(t - 1) - (log (seq893_HSH2D(t - 1) * seq148_RNASEL(t - 1)))) + (log ((seq241_TNFAIP8L1(t - 1) - (log (seq893_HSH2D(t - 1) * seq148_RNASEL(t - 1)))) + (log ((seq54_RPS6KA5(t - 1) * seq1085_TMEM154(t - 1)) + (cosine seq1260_SKAP1(t - 1)))))))) + (cosine seq1260_SKAP1(t - 1))));0,88;2077
SKAP1 = seq695_PCGF1(t - 1);1,69;2021
CXCR5 = seq516_ZNF444(t - 1);2,24;2016
LINS1 = log (((seq886_PRKX(t - 1) * seq497_ZC3HAV1(t - 1)) / (log seq724_TNFSF8(t - 1))) * ((seq613_XAF1(t - 1) * seq45_RBMS1(t - 1)) - (((seq613_XAF1(t - 1) * seq45_RBMS1(t - 1)) - (seq217_GRK6(t - 1) + seq724_TNFSF8(t - 1))) / (log seq724_TNFSF8(t - 1)))));0,65;2093
NIN = seq778_ELK4(t - 1);1,61;2004
IRF7 = seq465_ITIH4(t - 1);2,35;2026
GRAP = seq892_PLLP(t - 1);1,15;2052
GIT2 = ((log ((seq840_SOCS3(t - 1) / seq1051_CTDP1(t - 1)) / (log seq110_TRIM56(t - 1)))) + (log ((seq359_RPS6KA2(t - 1) * seq363_RASA2(t - 1)) + (seq1120_PARP11(t - 1) / 0.01)))) + (cosine (seq366_PTGER2(t - 1) / ((cosine seq988_PPP4R1L(t - 1)) + (seq1120_PARP11(t - 1) / 0.01))));1,11;1998
CDC2L5 = log ((sine seq516_ZNF444(t - 1)) + (((seq596_NMI(t - 1) + seq1052_MIAT(t - 1)) + (seq549_PVT1(t - 1) + seq1144_CCNYL1(t - 1))) * ((seq1009_SBNO2(t - 1) - seq628_SLAIN1(t - 1)) + (seq103_NLRP2(t - 1) * seq516_ZNF444(t - 1)))));1,43;2033
MUC1 = seq6_C2CD2(t - 1);1,06;2007
CASP7 = seq1318_CASP7(t - 1);0,54;2015
PYHIN1 = seq1282_GRAP(t - 1);1,54;2032
DUSP10 = seq1353_DUSP10(t - 1);2,78;2050
RBCK1 = seq733_MRPL2(t - 1);1,48;2033
GATA3 = seq517_SSH1(t - 1);1,12;2055
TRIM39 = log (((seq1282_GRAP(t - 1) * seq892_PLLP(t - 1)) / (log seq630_SYT15(t - 1))) * ((seq988_PPP4R1L(t - 1) * seq1087_ZNF831(t - 1)) / (seq594_SIRT1(t - 1) / seq875_ALDH6A1(t - 1))));0,54;2002
NRBP1 = seq1318_CASP7(t - 1);1,12;2039
RNASEL = seq1318_CASP7(t - 1);0,89;2065
DHX58 = ((sine (seq319_FAM184A(t - 1) + seq54_RPS6KA5(t - 1))) + ((log seq915_PGBD1(t - 1)) * (seq194_DHX58(t - 1) + seq1362_GATA3(t - 1)))) / (log ((sine (((log seq915_PGBD1(t - 1)) * (seq194_DHX58(t - 1) + seq1362_GATA3(t - 1))) + seq54_RPS6KA5(t - 1))) + (seq875_ALDH6A1(t - 1) * (((sine (seq319_FAM184A(t - 1) + seq54_RPS6KA5(t - 1))) + ((log seq915_PGBD1(t - 1)) * (seq194_DHX58(t - 1) + seq1362_GATA3(t - 1)))) / (log ((seq1130_GBP1(t - 1) / seq893_HSH2D(t - 1)) + (seq875_ALDH6A1(t - 1) * seq219_GALNT10(t - 1))))))));0,92;2071
MAFF = seq11_IL10RA(t - 1);2,61;2005
PNPLA8 = seq892_PLLP(t - 1);1,23;1993
GRK6 = seq463_CASP9(t - 1);1,91;2196
GALNT10 = seq695_PCGF1(t - 1) - 0.01;1,34;2049
PAFAH2 = seq1038_NARFL(t - 1);1,03;2131
DTNBP1 = seq305_SESN3(t - 1);0,95;2308
TMEM154 = seq557_GALR2(t - 1);2,03;2343
SEC14L2 = seq763_CDC42SE1(t - 1);2,19;2351
