SPON1;SGPL1;FAM184A;IL16;GBP1;
CD84;CDC42SE1;FES;
CCBL2;LCK;
GALNT10;MUC1;DHX58;LRRC8A;
IFIT3;ITIH4;FAM184A;
ALKBH8;RCSD1;
ELK4;NPAT;NIN;PI4KAP1;CCNYL1;
RAB43;GBP1;
RPS6KA5;ITIH4;DHX58;RAB27A;
DACH1;ITIH4;
SESN3;FES;PLLP;DTNBP1;DHDH;EPHA1;RGPD1;
FAM162A;BMPR2;TNFRSF12A;FAM162A;TMBIM1;CCBL2;
C14orf72;CDC42SE1;ELL2;
PI4KAP1;GBP5;ITIH4;
RPS6KA2;CDC42SE1;GIT2;ITIH4;TNFAIP8L1;
DHX58;DHX58;ATF4;
NFATC2IP;DACH1;SLAIN1;
ZNF444;CCND1;CXCR5;SPIN1;SYT15;FIZ1;CDC2L5;
DDX17;DDX17;CCND1;FLVCR2;C2orf18;UHMK1;
LAG3;FAM184A;
SP110;PDE7A;
NANOS3;FLVCR2;ZDHHC14;
ARID5A;LOC653583;ELL2;
NRBP1;ITIH4;LAG3;NARFL;
UHMK1;C2CD2;NFATC3;ELL2;
ZNF318;SPIN1;GPR81;
FIZ1;ALKBH8;
ZNF831;DDR1;TRIM39;FAM184A;
RBCK1;PSMB8;
TNIK;PRDM1;SOLH;
EPHA1;CDC42SE1;
SKAP1;RAB27A;
LINS1;CD84;PTGER2;PLCL1;PIP3-E;SOLH;
ATF4;ELL2;
CDC42SE1;SEC14L2;
GATA3;AKAP13;CTDP1;DHX58;TMEM140;KIAA0182;REC8;DACT1;
SLAIN1;ALDH6A1;GALR2;CDC2L5;NARFL;TMEM154;
ZC3HAV1;LINS1;
UBR1;FAM184A;SPIN1;
LOC346887;ITIH4;LOC346887;
SEC14L2;ITIH4;FES;C2CD2;IL10RA;SMPD1;SOLH;
PGBD1;DHX58;PSMB8;
SOCS3;GBP5;GIT2;SBNO2;LOC732075;
NPAT;IL16;PRKX;RCSD1;
SGPL1;IL16;
SBNO2;CCBL2;CDC2L5;
NUAK2;ITIH4;DACH1;NUAK2;ELL2;PSMB8;
TSPAN9;CDC42SE1;DACH1;REC8;
GALR2;DACH1;CASP1;TMEM154;
GRK6;ITIH4;LINS1;
LOC732075;ITIH4;
NLRP2;CDC2L5;
ZNF821;CDC42SE1;
LONRF1;ITIH4;DACH1;CCBL2;
SULT1A3;ZNF831;TRAK1;SULT1A3;
PPP4R1L;GIT2;TRIM39;PPP4R1L;
PYHIN1;CDC42SE1;COL18A1;RCSD1;LY9;
NFATC3;GBP5;RCSD1;
RAB27A;SOLH;
NFATC1;BMPR2;CCND1;
NMI;CDC2L5;ELL2;GBP4;
