SLC25A1;CCL3L1;
FEN1;COPS6;CHCHD10;ACADM;COMT;
CCL4L2;PDCD5;
PDCD5;GLB1;PEMT;NDUFC1;C19orf12;COMT;
PIGP;CCL5;NDUFC1;HSD17B10;
TMEM97;ACOT7;GLB1;RGS16;ZBED2;GZMB;EPDR1;CHCHD10;NDUFC1;TMEM97;TNS3;CKS1B;
APEH;INO80C;SQLE;ATP1B1;
NOLA2;BASP1;EPDR1;NDUFC1;ACADM;SLC39A1;HSD17B10;
COMT;NDUFB6;LMNA;CHCHD10;PEMT;NDUFC1;ATP1B1;
RABEPK;HIRIP3;BASP1;TMEM97;SRM;
CKS1B;SLC39A1;HSD17B10;
NSDHL;BASP1;SYT11;RGS16;NDUFC1;ACADM;
BASP1;CCL5;NDUFC1;
MYB;FEN1;HIRIP3;NDUFB6;RGS16;CHCHD10;C19orf12;HSD17B10;
HCFC1R1;PSMA3;NSDHL;FABP5;RGS16;BOLA2;LMNA;M6PR;CHCHD10;NDUFC1;SEC23B;SRM;
ACADM;HIRIP3;BASP1;ATP1B1;SLC39A1;
TNS3;NDUFB6;CHCHD10;ATP1B1;SLC39A1;MAPK13;
SLC39A1;PRDX4;ACOT7;ATP1B1;SEC23B;
ACOT7;GLB1;LMNA;MYB;HSD17B10;LRP8;
RPS7;HIRIP3;GLB1;RGS16;M6PR;CCL3;NDUFC1;THBS1;
EPDR1;CDK6;SYT11;NDUFC1;THBS1;
NDUFC1;CCL5;ATP1B1;SLC39A1;
ATP1B1;NSDHL;CCL4L2;CCL5;THOC6;
PDIA6;GGCT;IL32;NSDHL;MYB;ZBED2;HSD17B10;
THOC6;ADCY3;COL6A3;CHCHD10;PEMT;ATP1B1;SLC39A1;HSD17B10;CKLF;LRP8;SEC23B;
DUSP23;GGCT;DUSP23;BASP1;LOC134997;S100A6;GEMIN6;HSD17B10;
PSMA3;NSDHL;ACADM;HSD17B10;
NHP2L1;SLC25A1;PRDX4;PDCD5;HSD17B10;SEC23B;
LOC134997;NSDHL;RPS7;LOC134997;CCL3;CHCHD10;C19orf12;ATP1B1;CKLF;SRM;
BOLA2;GGCT;IL32;HCFC1R1;CHCHD10;PDIA6;
S100A6;RGS16;NDUFC1;
CCDC90A;SQLE;NDUFB6;GLB1;CCDC90A;NDUFC1;
COL6A3;STAT1;C19orf12;HSD17B10;
GEMIN6;CDK6;
INO80C;CCL5;NDUFC1;SEC23B;
NDUFB6;C19orf12;ATP1B1;
CCL3L1;NHP2L1;ATP1B1;SEC23B;MAPK13;
RGS16;FEN1;RGS16;MYB;NDUFC1;ATP1B1;
ADCY3;SQLE;
THBS1;FEN1;RGS16;CHCHD10;ATP1B1;HSD17B10;
HSD17B10;MYB;PIGP;ATP1B1;MAPK13;
LRP8;LRP8;SEC23B;
SRM;RPS7;LOC134997;
PRDX4;FABP5;STAT1;ACADM;C19orf12;SLC39A1;
HIRIP3;FEN1;SLC39A1;
CCL5;NSDHL;HIRIP3;FABP5;CCL3L1;CCL20;MYB;CHCHD10;NDUFC1;SLC39A1;
LMNA;M6PR;COMT;THBS1;
CCL3;NSDHL;RGS16;LOC134997;CHCHD10;NDUFC1;
ZBED2;NHP2L1;BASP1;NDUFC1;HSD17B10;
SEC23B;FEN1;NDUFC1;ATP1B1;SEC23B;
IL32;NSDHL;GLB1;BASP1;CCL5;CHCHD10;HSD17B10;
CCL20;FABP5;NDUFB6;GLB1;SEC23B;
STAT1;GLB1;ATP1B1;TNS3;
M6PR;NDUFB6;CCL20;RGS16;PDCD5;NDUFC1;NOLA2;DUSP23;PRDX4;GLB1;MYB;CCL3;NDUFAF2;SFXN4;CKLF;SEC23B;
CHCHD10;DUSP23;RGS16;LMNA;NDUFC1;ATP1B1;LRP8;
GZMB;NDUFB6;S100A6;
C19orf12;HIRIP3;RGS16;LOC134997;M6PR;
MAPK13;FEN1;HIRIP3;C19orf12;ATP1B1;THBS1;
GGCT;NSDHL;COPS6;ATP1B1;
SQLE;NSDHL;ACOT7;CDK6;NDUFC1;ATP1B1;SLC39A1;TNS3;
COPS6;FABP5;NHP2L1;RGS16;CCL5;TMEM97;C19orf12;SLC39A1;SEC23B;RABEPK;
CDK6;RGS16;CHCHD10;
FABP5;NSDHL;RGS16;ATP1B1;
GLB1;FEN1;CCL5;ADCY3;NCAPD2;C19orf12;ATP1B1;THOC6;
SYT11;CCL20;CCL5;C19orf12;HSD17B10;
NDUFAF2;INO80C;NSDHL;RPS7;RGS16;SLC39A1;SEC23B;MAPK13;
PEMT;INO80C;NDUFB6;CHCHD10;NCAPD2;APEH;
SFXN4;APEH;LRP8;
NCAPD2;RGS16;
CKLF;CHCHD10;HSD17B10;SEC23B;
