NCKAP1;CYB5R2;TSPAN17;PYCR1;
COBRA1;PARP3;TIFA;
TMEM200A;COBRA1;SH2D2A;
IL23R;SH2D2A;SIRPG;PYCR1;
DIXDC1;BMPR2;SH2D2A;PYCR1;CXCR6;RGL2;MTE;
FNBP1L;HOMER2;C21orf81;
RBPJ;TM7SF3;
TSKU;HSD11B1;HAGHL;RASGRP4;LOC644615;
RCBTB2;LARP6;
RPS6KA4;HAGHL;
GPR174;TM7SF3;
LOC729486;CDCP1;TERC;TAC1;KIAA0040;
FRAT1;KLHL15;GAD1;SIRT5;TAC1;HAMP;
NPAL1;ANXA2;
MGC16121;LOC729692;SH2D2A;DIXDC1;FBXO6;RGL1;
AADACL1;FAM164A;
FBXO6;DUSP10;KCTD17;
RPL37;GAD1;
SPA17;PYCR1;LMCD1;
CCNL1;PYCR1;CCNL1;
ICOSLG;TERC;TSR1;
C12orf48;IL22;SIRT5;
IL1R2;CYB5R2;ROR1;
MTUS1;ALDOB;ARHGAP23;
AFAP1;SH2D2A;LOC642233;TPR;FSD1;RP11-529I10.4;
DEPDC1B;CYB5R2;ARHGAP23;
NEIL3;ANG;
KATNAL1;MB;C10orf67;ALDOB;PTHLH;C21orf81;
ETHE1;SOCS3;TTLL1;PYCR1;KCTD17;
PSME1;GPR174;TMEM200A;TIFA;PYCR1;RPL37;LRRC32;C21orf81;
FAR2;CYB5R2;IL26;TTLL1;PYCR1;
CTAGE6;RBM3;
KCTD17;PYCR1;CXCR6;
ALDH7A1;AIM2;CDCP1;
CTXN1;AMPH;
PRR11;KIF1A;
LINS1;GAD1;KIT;SIPA1L2;
MGC27121;KIF5C;KIF14;ALDH7A1;
BEX1;PC;CDK3;
SLC35D1;MGC29506;
SH2D2A;CTXN1;
TSHZ2;IL22;CHST3;
CD1C;MYO5C;
CD1B;TTLL1;PYCR1;
KIAA0040;PC;
C21orf81;RSAD2;C14orf149;RGMA;
CYB5R2;RGL2;
HSD11B1;LARP6;KIAA0040;
MAP7;ANXA2;PRICKLE1;
SLAMF6;IMMP2L;
PPAPDC1B;ZDHHC13;C3orf34;
JAG2;SEPT11;PTCHD1;FZD9;AMPH;SLAMF6;DLK2;
