EXPRESSION;FITNESS;TIME (Milliseconds);
SERTAD2 = seq542_OXA1L(t - 1);1,58;4165
CDV3 = seq165_CDV3(t - 1);1,06;2881
CCDC32 = seq116_ASH2L(t - 1);1,76;3053
SDHA = seq1061_SDHA(t - 1);1,49;2313
C6orf105 = seq759_VGLL4(t - 1);1,99;2313
RPL26L1 = seq969_PGM1(t - 1);1,93;2570
DRAP1 = seq829_FAM96B(t - 1);2,56;2190
UBE2F = seq1314_UCHL5IP(t - 1);1,78;1849
BEX2 = (seq542_OXA1L(t - 1) - (seq715_NDUFA9(t - 1) - seq878_CTCF(t - 1))) * (seq1223_TNFRSF25(t - 1) / seq503_RASA1(t - 1));2,27;1790
ASH2L = (seq262_NCOA7(t - 1) / seq838_TRAF3IP3(t - 1)) * seq934_RPA1(t - 1);1,03;2037
RABAC1 = seq909_MED16(t - 1);1,68;2115
KIAA0247 = seq1077_C6orf105(t - 1);1,61;1887
DNM1L = log (((seq287_DDEF1(t - 1) * seq262_NCOA7(t - 1)) * (seq417_IFI16(t - 1) * seq262_NCOA7(t - 1))) - ((log ((seq287_DDEF1(t - 1) * seq262_NCOA7(t - 1)) * (seq287_DDEF1(t - 1) * seq262_NCOA7(t - 1)))) * (cosine (seq715_NDUFA9(t - 1) * seq417_IFI16(t - 1)))));0,63;1977
TNFRSF25 = seq330_IDH3A(t - 1);1,85;1758
CPNE1 = seq401_RBPJ(t - 1);1,75;1779
CLDND1 = (seq715_NDUFA9(t - 1) - 0.01) - 0.01;2,27;1905
CTSB = seq165_CDV3(t - 1);1,32;2060
BAG5 = seq1295_BAG5(t - 1);1,35;2047
NUP160 = seq1104_DRAP1(t - 1);1,84;1756
SEC23B = seq361_SRP68(t - 1);2,15;2176
TCF20 = seq647_LOC653438(t - 1);1,49;1870
XPNPEP1 = log (((log seq825_SNRPA(t - 1)) * (seq701_PDCD2(t - 1) * (log (((log seq825_SNRPA(t - 1)) * ((seq647_LOC653438(t - 1) - seq1223_TNFRSF25(t - 1)) + (seq701_PDCD2(t - 1) * seq1194_KIAA0247(t - 1)))) * ((seq647_LOC653438(t - 1) - seq1223_TNFRSF25(t - 1)) + (seq701_PDCD2(t - 1) * seq1194_KIAA0247(t - 1))))))) * (seq701_PDCD2(t - 1) * seq1194_KIAA0247(t - 1)));1,38;1896
CMTM3 = (((sine ((((seq838_TRAF3IP3(t - 1) / seq944_S100A10(t - 1)) * ((((seq776_VRK3(t - 1) + seq878_CTCF(t - 1)) / (seq328_PITRM1(t - 1) + seq691_MAPK6(t - 1))) + ((seq412_CLDND1(t - 1) + seq1143_UBE2F(t - 1)) * (seq776_VRK3(t - 1) + (seq838_TRAF3IP3(t - 1) / seq277_ANKRD13A(t - 1))))) * ((seq838_TRAF3IP3(t - 1) / seq944_S100A10(t - 1)) * (seq328_PITRM1(t - 1) - seq417_IFI16(t - 1))))) / seq0_SERTAD2(t - 1)) + ((seq412_CLDND1(t - 1) + seq1143_UBE2F(t - 1)) * (seq776_VRK3(t - 1) + seq878_CTCF(t - 1))))) / (seq838_TRAF3IP3(t - 1) / seq944_S100A10(t - 1))) + ((seq412_CLDND1(t - 1) + seq1143_UBE2F(t - 1)) * (seq776_VRK3(t - 1) + seq838_TRAF3IP3(t - 1)))) / (((seq838_TRAF3IP3(t - 1) / seq944_S100A10(t - 1)) * (seq328_PITRM1(t - 1) - seq417_IFI16(t - 1))) + ((log seq1215_DNM1L(t - 1)) * (seq1304_SEC23B(t - 1) + seq213_SLC9A3R1(t - 1))));0,71;1958
UCHL5IP = seq766_UBE2L6(t - 1);1,76;2327
WDR21A = seq698_IDS(t - 1);2,32;1799
CASP3 = seq130_XPNPEP1(t - 1);2,1;1853
U1SNRNPBP = log ((((seq900_EXOC3(t - 1) * seq970_PPTC7(t - 1)) * ((seq20_ZMAT3(t - 1) * seq165_CDV3(t - 1)) - seq1340_U1SNRNPBP(t - 1))) - (seq20_ZMAT3(t - 1) * seq165_CDV3(t - 1))) + ((cosine (cosine (seq838_TRAF3IP3(t - 1) + seq1015_CDV3(t - 1)))) * seq1340_U1SNRNPBP(t - 1)));0,56;1897
IVNS1ABP = log (((((seq809_ITGB7(t - 1) * seq715_NDUFA9(t - 1)) * (seq299_RAB11FIP1(t - 1) * seq447_PTPN7(t - 1))) / (log (seq299_RAB11FIP1(t - 1) - (((seq809_ITGB7(t - 1) * seq715_NDUFA9(t - 1)) * ((seq809_ITGB7(t - 1) * seq715_NDUFA9(t - 1)) * (((((seq809_ITGB7(t - 1) * seq715_NDUFA9(t - 1)) * (seq299_RAB11FIP1(t - 1) * seq447_PTPN7(t - 1))) / (log (seq299_RAB11FIP1(t - 1) - (((seq809_ITGB7(t - 1) * seq715_NDUFA9(t - 1)) * (seq299_RAB11FIP1(t - 1) * seq447_PTPN7(t - 1))) / (sine (cosine seq167_OAS2(t - 1))))))) / (sine (seq1077_C6orf105(t - 1) * seq53_KIAA0152(t - 1)))) - (((seq809_ITGB7(t - 1) * seq715_NDUFA9(t - 1)) * (seq299_RAB11FIP1(t - 1) * seq447_PTPN7(t - 1))) / (sine (cosine seq167_OAS2(t - 1))))))) / (sine (cosine seq167_OAS2(t - 1))))))) / (sine (seq1077_C6orf105(t - 1) * seq53_KIAA0152(t - 1)))) - (((seq809_ITGB7(t - 1) * seq715_NDUFA9(t - 1)) * ((log ((seq809_ITGB7(t - 1) * seq715_NDUFA9(t - 1)) * (seq299_RAB11FIP1(t - 1) * seq447_PTPN7(t - 1)))) * seq447_PTPN7(t - 1))) / (sine (cosine seq167_OAS2(t - 1)))));0,98;1958
REPIN1 = seq345_BMI1(t - 1);1,41;1788
TOP1MT = (log ((seq450_MGC71993(t - 1) + seq432_CWC15(t - 1)) * (seq1358_TOP1MT(t - 1) * seq1295_BAG5(t - 1)))) + ((log (seq844_CLEC16A(t - 1) + seq167_OAS2(t - 1))) * (cosine (cosine seq345_BMI1(t - 1))));0,93;1807
STAT3 = seq1153_BEX2(t - 1);2,07;1721
SP110 = seq165_CDV3(t - 1);1,76;2264
CD96 = seq1077_C6orf105(t - 1) * (seq1372_CD96(t - 1) / seq738_Magmas(t - 1));3,06;2047
CPNE1 = seq401_RBPJ(t - 1);1,7;1875
PCMT1 = seq829_FAM96B(t - 1);1,28;2023
ZC3H12A = (sine ((seq542_OXA1L(t - 1) * seq20_ZMAT3(t - 1)) + (sine seq617_TBL1X(t - 1)))) - (((log seq80_PFKFB3(t - 1)) * (log seq579_HPRT1(t - 1))) * ((cosine seq647_LOC653438(t - 1)) - (seq203_CHIC2(t - 1) / seq1314_UCHL5IP(t - 1))));3,13;1859
CDV3 = seq1015_CDV3(t - 1);0,88;2134
OAS2 = seq311_GCHFR(t - 1);2,46;1891
CLTB = (cosine (cosine (cosine seq1340_U1SNRNPBP(t - 1)))) + ((log (seq87_HIGD1A(t - 1) / 0.01)) + ((log seq1346_IVNS1ABP(t - 1)) * (seq168_CLTB(t - 1) / seq130_XPNPEP1(t - 1))));1,57;1835
IKZF1 = seq182_IKZF1(t - 1);1,56;1789
CHD7 = seq20_ZMAT3(t - 1);2,39;1801
CHIC2 = seq262_NCOA7(t - 1);2,54;1782
ADARB1 = seq786_BCOR(t - 1);3,77;1783
ZMAT3 = seq759_VGLL4(t - 1);2,22;1776
SLC9A3R1 = seq934_RPA1(t - 1);2,07;1758
