CHIC2;PFKFB3;ZC3H12A;BCOR;
TRAF3IP3;PPP1R16B;U1SNRNPBP;CMTM3;PITRM1;EXOC3;ASH2L;DEGS1;VRK3;IRF9;
UBE2L6;TXLNA;UCHL5IP;UBE2L6;
IKZF1;PFKFB3;IKZF1;ZMYND11;
ADARB1;PITRM1;
RBPJ;CPNE1;DHX16;
PCMT1;PSME2;UBE2L6;HIGD1A;PHLDA1;DDEF1;
ZC3H12A;CD96;EXOC3;VRK3;
C6orf105;IVNS1ABP;CD96;TXLNA;KIAA0247;CWC15;IDH3A;
CPNE1;CECR5;PHLDA1;
PHLDA1;FYN;CWC15;
ANKRD13A;CMTM3;
PPP1R16B;SRP68;
CD96;CD96;SRP68;
ZGPAT;TGOLN2;PFKFB3;MED16;CLEC2D;
PPTC7;GCHFR;U1SNRNPBP;ZGPAT;PPTC7;
UCHL5IP;UBE2F;ZC3H12A;VRK3;
SDHA;DBNDD2;EXOC3;DEGS1;SDHA;VRK3;
VRK3;CMTM3;DDX23;SRP68;SDHA;
HCFC1;MGC71993;RNF181;VRK3;
OXA1L;OXA1L;BEX2;SERTAD2;ZC3H12A;NCOA7;
TXLNA;PRR6;
KIAA0247;PRR6;XPNPEP1;DDX23;CWC15;ZNF544;
PSME2;TMEM205;DEGS1;
PRKCQ;TGOLN2;DEGS1;
TAGLN2;DDX23;
HPRT1;ZC3H12A;DDX23;RPA1;DEGS1;
SNRPA;XPNPEP1;
BEX2;PITRM1;SLC44A2;STAT3;
PFKFB3;ZC3H12A;
CLEC16A;TOP1MT;EXOC3;
ARHGAP17;VRK3;
HIGD1A;CLTB;CLEC2D;
TGOLN2;PITRM1;
SLC9A3R1;CMTM3;CECR5;TAGLN2;
U1SNRNPBP;U1SNRNPBP;CLTB;PHLDA1;
BAG5;BAG5;TOP1MT;MED16;
RAB11FIP1;IVNS1ABP;DEGS1;
PITRM1;CMTM3;PITRM1;DDEF1;
ZMAT3;U1SNRNPBP;PFKFB3;ZC3H12A;CHD7;DDX23;DEGS1;VRK3;
CCDC32;VRK3;
S100A10;CMTM3;
UBE2F;CMTM3;C9orf46;MAPK6;
IVNS1ABP;IFI16;DDX23;CLTB;DEGS1;VRK3;
KIAA0152;IVNS1ABP;TGOLN2;
CWC15;TOP1MT;UBE2L6;CLEC2D;
PTK2;PFKFB3;EXOC3;
DRAP1;CECR5;UBE2L6;DEGS1;NUP160;HCFC1;
RNF181;MRPS27;VRK3;
DEGS1;APBB1IP;IDS;MED16;PHLDA1;
SLC44A2;TBL1X;VRK3;
CLTB;TGOLN2;CLTB;
ASH2L;FAM62A;CLEC16A;CCDC32;DEGS1;MED16;
TCF20;RASSF2;DEGS1;MED16;
CTCF;BEX2;TRAF3IP3;CMTM3;PRKCQ;
MED16;GCHFR;ZGPAT;EXOC3;DEGS1;RABAC1;
BMI1;REPIN1;EXOSC10;PFKFB3;TOP1MT;BMI1;
TOP1MT;TOP1MT;CLEC16A;PDCD2;DEGS1;MED16;
CASP3;PLEKHF1;EXOC3;DEGS1;PTPN7;DDEF1;
IDS;WDR21A;EXOC3;SRP68;PTK2;
DHX16;NRD1;C17orf62;
ITGB7;IVNS1ABP;MED16;
DNM1L;DBNDD2;CMTM3;CECR5;ITGB7;CTCF;
PGM1;RPL26L1;
IDH3A;RASA1;TNFRSF25;DDEF1;
CTSB;RAB11FIP1;DEGS1;
Magmas;CD96;MRPS21;DEGS1;CWC15;HPRT1;
CDV3;TGOLN2;CDV3;U1SNRNPBP;MRPS27;SP110;TRAT1;CTSB;
PRKCB1;TXLNA;PHLDA1;
MRPS27;TXLNA;
MRPS21;POLR3A;TXLNA;SNRPA;
PARP9;RAB11FIP1;CLEC16A;EXOC3;
UCHL3;Magmas;KIAA0152;UCHL3;SNRPA;
GCHFR;PRKCB1;OAS2;EXOC3;
APBB1IP;DEGS1;VRK3;
KIF2A;DEGS1;PARP9;SNRPA;
OAS2;IVNS1ABP;TOP1MT;
RASA1;BEX2;PITRM1;DDX23;
MGC71993;TOP1MT;
FAM96B;DRAP1;PCMT1;TXLNA;FAM96B;VRK3;PGM1;
EXOC3;U1SNRNPBP;PRR6;DEGS1;MAPK6;
TNFRSF25;BEX2;XPNPEP1;CLEC16A;DEGS1;
NCOA7;CHIC2;ASH2L;DNM1L;DDEF1;
ZMYND11;DDEF1;TRIM44;
VGLL4;PITRM1;ZMAT3;C6orf105;VRK3;VGLL4;
IRF9;DDX23;DEGS1;SRP68;MAPK6;
CLDND1;CMTM3;CLEC16A;PHLDA1;S100A10;
WDR21A;DDX23;CTCF;
DDX23;CWC15;RBPJ;
